state,act_participation_17,act_english_17,act_math_17,act_reading_17,act_science_17,act_composite_17,sat_participation_17,sat_ebrw_17,sat_math_17,sat_total_17,act_participation_18,act_composite_18,sat_participation_18,sat_ebrw_18,sat_math_18,sat_total_18,act_participation_19,act_composite_19,sat_participation_19,sat_ebrw_19,sat_math_19,sat_total_19
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,5.0,593,572,1165,100%,19.1,6.0,595,571,1166,100.0,18.9,7.0,583,560,1143
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,38.0,547,533,1080,33%,20.8,43.0,562,544,1106,38.0,20.1,41.0,556,541,1097
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,30.0,563,553,1116,66%,19.2,29.0,577,572,1149,73.0,19.0,31.0,569,565,1134
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,3.0,614,594,1208,100%,19.4,5.0,592,576,1169,100.0,19.3,6.0,582,559,1141
California,31.0,22.5,22.7,23.1,22.2,22.8,53.0,531,524,1055,27%,22.7,60.0,540,536,1076,23.0,22.6,63.0,534,531,1065
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,11.0,606,595,1201,30%,23.9,100.0,519,506,1025,27.0,23.8,100.0,518,506,1024
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,100.0,530,512,1041,26%,25.6,100.0,535,519,1053,22.0,25.5,100.0,529,516,1046
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,100.0,503,492,996,17%,23.8,100.0,505,492,998,13.0,24.1,100.0,499,486,985
Florida,73.0,19.0,19.4,21.0,19.4,19.8,83.0,520,497,1017,66%,19.9,56.0,550,549,1099,54.0,20.1,100.0,516,483,999
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,61.0,535,515,1050,53%,21.4,70.0,542,522,1064,49.0,21.4,71.0,538,519,1058
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,55.0,544,541,1085,89%,18.9,56.0,480,530,1010,80.0,19.0,54.0,550,550,1100
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,93.0,513,493,1005,36%,22.3,100.0,508,493,1001,31.0,22.5,100.0,505,488,993
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,9.0,559,556,1115,43%,23.9,99.0,513,506,1019,35.0,24.3,100.0,509,504,1013
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,63.0,542,532,1074,32%,22.5,63.0,542,532,1074,29.0,22.5,66.0,543,537,1080
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,2.0,641,635,1275,68%,21.8,3.0,634,631,1265,66.0,21.6,3.0,622,622,1244
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,4.0,632,628,1260,71%,21.6,4.0,633,631,1265,72.0,21.2,4.0,618,623,1241
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,4.0,631,616,1247,100%,20.2,4.0,630,618,1248,100.0,19.8,4.0,620,612,1232
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,4.0,611,586,1198,100%,19.2,4.0,615,595,1210,100.0,18.8,5.0,610,591,1200
Maine,8.0,24.2,24.0,24.8,23.7,24.3,95.0,513,499,1012,7%,24.0,99.0,512,501,1013,6.0,24.3,99.0,512,502,1013
Maine,8.0,24.2,24.0,24.8,23.7,24.3,95.0,513,499,1012,7%,24.0,99.0,512,501,1013,6.0,24.3,99.0,512,502,1013
Maryland,28.0,23.3,23.1,24.2,23.8,23.6,69.0,536,524,1060,31%,22.5,76.0,545,535,1080,28.0,22.3,82.0,535,523,1058
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,76.0,555,551,1107,25%,25.5,80.0,562,563,1125,21.0,25.5,81.0,559,561,1120
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,100.0,509,495,1005,22%,24.2,100.0,511,499,1011,19.0,24.4,100.0,507,496,1003
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,3.0,644,651,1295,99%,21.3,4.0,643,655,1298,95.0,21.4,4.0,636,648,1284
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,2.0,634,607,1242,100%,18.6,3.0,630,606,1236,100.0,18.4,3.0,628,608,1237
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,3.0,640,631,1271,100%,20.0,4.0,633,629,1262,82.0,20.8,4.0,622,615,1236
Montana,100.0,19.0,20.2,21.0,20.5,20.3,10.0,605,591,1196,100%,20.0,10.0,606,592,1198,100.0,19.8,9.0,603,596,1199
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,3.0,629,625,1253,100%,20.1,3.0,629,623,1252,100.0,20.0,3.0,628,631,1260
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,26.0,563,553,1116,100%,17.7,23.0,574,566,1140,100.0,17.9,20.0,580,576,1156
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,96.0,532,520,1052,16%,25.1,96.0,535,528,1063,14.0,25.0,95.0,533,526,1059
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,70.0,530,526,1056,31%,23.7,82.0,547,547,1094,25.0,24.2,82.0,544,545,1090
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,11.0,577,561,1138,67%,19.4,16.0,552,540,1093,63.0,19.3,18.0,543,530,1073
New York,31.0,23.8,24.0,24.6,23.9,24.2,67.0,528,523,1052,27%,24.5,79.0,534,534,1068,22.0,24.5,79.0,531,533,1064
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,49.0,546,535,1081,100%,19.1,52.0,554,543,1098,100.0,19.0,51.0,554,546,1100
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,2.0,635,621,1256,98%,20.3,2.0,640,643,1283,96.0,19.9,2.0,627,636,1263
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,12.0,578,570,1149,100%,20.3,18.0,552,547,1099,100.0,20.0,19.0,550,548,1097
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,7.0,530,517,1047,100%,19.3,8.0,541,521,1062,100.0,18.9,22.0,490,472,963
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,43.0,560,548,1108,42%,21.3,48.0,564,553,1117,42.0,21.1,51.0,562,550,1112
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,65.0,540,531,1071,20%,23.5,70.0,547,539,1086,17.0,23.6,70.0,545,537,1082
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,71.0,539,524,1062,15%,24.2,97.0,513,505,1018,12.0,24.7,100.0,503,492,995
South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,50.0,543,521,1064,100%,18.3,55.0,547,523,1070,78.0,18.8,68.0,526,504,1030
South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,3.0,612,603,1216,77%,21.9,3.0,622,618,1240,75.0,21.6,3.0,633,635,1268
Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,5.0,623,604,1228,100%,19.6,6.0,624,607,1231,100.0,19.4,7.0,618,602,1220
Texas,45.0,19.5,20.7,21.1,20.9,20.7,62.0,513,507,1020,45%,20.7,66.0,520,512,1032,39.0,20.5,68.0,515,507,1022
Utah,100.0,19.5,19.9,20.8,20.6,20.3,3.0,624,614,1238,100%,20.4,4.0,480,530,1010,100.0,20.3,4.0,614,615,1230
Vermont,29.0,23.3,23.1,24.4,23.2,23.6,60.0,562,551,1114,24%,24.1,64.0,565,554,1120,20.0,24.1,66.0,560,546,1106
Virginia,29.0,23.5,23.3,24.6,23.5,23.8,65.0,561,541,1102,24%,23.9,68.0,567,550,1117,21.0,24.0,68.0,567,551,1119
Washington,29.0,20.9,21.9,22.1,22.0,21.9,64.0,541,534,1075,24%,22.2,69.0,543,538,1081,24.0,22.1,70.0,539,535,1074
West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,14.0,558,528,1086,65%,20.3,28.0,513,486,999,49.0,20.8,99.0,483,460,943
Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,3.0,642,649,1291,100%,20.5,3.0,641,653,1294,100.0,20.3,3.0,635,648,1283
Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,3.0,626,604,1230,100%,20.0,3.0,633,625,1257,100.0,19.8,3.0,623,615,1238
